codes,wav_codes,transcript,normalized_transcript,tokens,duration,gender
1707,7632932253248030737.wav,It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).,it is one of the main attractions of south africa and it is considered the flagship of south african national parks sanparks,i t | i s | o n e | o f | t h e | m a i n | a t t r a c t i o n s | o f | s o u t h | a f r i c a | a n d | i t | i s | c o n s i d e r e d | t h e | f l a g s h i p | o f | s o u t h | a f r i c a n | n a t i o n a l | p a r k s | s a n p a r k s |,174720,MALE
1707,8613346643514615014.wav,It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).,it is one of the main attractions of south africa and it is considered the flagship of south african national parks sanparks,i t | i s | o n e | o f | t h e | m a i n | a t t r a c t i o n s | o f | s o u t h | a f r i c a | a n d | i t | i s | c o n s i d e r e d | t h e | f l a g s h i p | o f | s o u t h | a f r i c a n | n a t i o n a l | p a r k s | s a n p a r k s |,192000,MALE
1755,8065205721681723081.wav,One bomb exploded outside the governor general's office.,one bomb exploded outside the governor general's office,o n e | b o m b | e x p l o d e d | o u t s i d e | t h e | g o v e r n o r | g e n e r a l ' s | o f f i c e |,77760,FEMALE
1755,13345242347208844836.wav,One bomb exploded outside the governor general's office.,one bomb exploded outside the governor general's office,o n e | b o m b | e x p l o d e d | o u t s i d e | t h e | g o v e r n o r | g e n e r a l ' s | o f f i c e |,106240,MALE
1672,3337787499768294195.wav,"Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).",be careful not to allow fabric to become too hot which can cause shrinkage or in extreme cases scorch,b e | c a r e f u l | n o t | t o | a l l o w | f a b r i c | t o | b e c o m e | t o o | h o t | w h i c h | c a n | c a u s e | s h r i n k a g e | o r | i n | e x t r e m e | c a s e s | s c o r c h |,162560,MALE
1672,546231163869746473.wav,"Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).",be careful not to allow fabric to become too hot which can cause shrinkage or in extreme cases scorch,b e | c a r e f u l | n o t | t o | a l l o w | f a b r i c | t o | b e c o m e | t o o | h o t | w h i c h | c a n | c a u s e | s h r i n k a g e | o r | i n | e x t r e m e | c a s e s | s c o r c h |,169600,MALE
1956,14278251866048014426.wav,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans,u s i n g | s h i p s | t o | t r a n s p o r t | g o o d s | i s | b y | f a r | t h e | m o s t | e f f i c i e n t | w a y | t o | m o v e | l a r g e | a m o u n t s | o f | p e o p l e | a n d | g o o d s | a c r o s s | o c e a n s |,121920,FEMALE
1827,9804762782045252114.wav,The crust is about 70 km thick on the near side and 100 km thick on the far side.,the crust is about 70 km thick on the near side and 100 km thick on the far side,t h e | c r u s t | i s | a b o u t | 7 0 | k m | t h i c k | o n | t h e | n e a r | s i d e | a n d | 1 0 0 | k m | t h i c k | o n | t h e | f a r | s i d e |,122880,FEMALE
1817,7233685891059653046.wav,"The Schengen zone, however, works somewhat like one country in this respect.",the schengen zone however works somewhat like one country in this respect,t h e | s c h e n g e n | z o n e | h o w e v e r | w o r k s | s o m e w h a t | l i k e | o n e | c o u n t r y | i n | t h i s | r e s p e c t |,72960,FEMALE
1817,17289442889985927678.wav,"The Schengen zone, however, works somewhat like one country in this respect.",the schengen zone however works somewhat like one country in this respect,t h e | s c h e n g e n | z o n e | h o w e v e r | w o r k s | s o m e w h a t | l i k e | o n e | c o u n t r y | i n | t h i s | r e s p e c t |,108800,MALE
1864,11318597463051480163.wav,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",mrs kirchner announced her intention to run for president at the argentine theatre the same location she used to start her 2005 campaign for the senate as member of the buenos aires province delegation,m r s | k i r c h n e r | a n n o u n c e d | h e r | i n t e n t i o n | t o | r u n | f o r | p r e s i d e n t | a t | t h e | a r g e n t i n e | t h e a t r e | t h e | s a m e | l o c a t i o n | s h e | u s e d | t o | s t a r t | h e r | 2 0 0 5 | c a m p a i g n | f o r | t h e | s e n a t e | a s | m e m b e r | o f | t h e | b u e n o s | a i r e s | p r o v i n c e | d e l e g a t i o n |,305920,MALE
1990,2866079421585301198.wav,"Blogs can also help improve student writing. While students often begin their blog experience with sloppy grammar and spelling, the presence of an audience generally changes that.",blogs can also help improve student writing while students often begin their blog experience with sloppy grammar and spelling the presence of an audience generally changes that,b l o g s | c a n | a l s o | h e l p | i m p r o v e | s t u d e n t | w r i t i n g | w h i l e | s t u d e n t s | o f t e n | b e g i n | t h e i r | b l o g | e x p e r i e n c e | w i t h | s l o p p y | g r a m m a r | a n d | s p e l l i n g | t h e | p r e s e n c e | o f | a n | a u d i e n c e | g e n e r a l l y | c h a n g e s | t h a t |,182400,MALE
1990,10938576782105608041.wav,"Blogs can also help improve student writing. While students often begin their blog experience with sloppy grammar and spelling, the presence of an audience generally changes that.",blogs can also help improve student writing while students often begin their blog experience with sloppy grammar and spelling the presence of an audience generally changes that,b l o g s | c a n | a l s o | h e l p | i m p r o v e | s t u d e n t | w r i t i n g | w h i l e | s t u d e n t s | o f t e n | b e g i n | t h e i r | b l o g | e x p e r i e n c e | w i t h | s l o p p y | g r a m m a r | a n d | s p e l l i n g | t h e | p r e s e n c e | o f | a n | a u d i e n c e | g e n e r a l l y | c h a n g e s | t h a t |,140160,FEMALE
1983,6923678949967639873.wav,"The word civilization comes from the Latin civilis, meaning civil, related to the Latin civis, meaning citizen, and civitas, meaning city or city-state, and that also somehow defines the size of the society.",the word civilization comes from the latin civilis meaning civil related to the latin civis meaning citizen and civitas meaning city or city-state and that also somehow defines the size of the society,t h e | w o r d | c i v i l i z a t i o n | c o m e s | f r o m | t h e | l a t i n | c i v i l i s | m e a n i n g | c i v i l | r e l a t e d | t o | t h e | l a t i n | c i v i s | m e a n i n g | c i t i z e n | a n d | c i v i t a s | m e a n i n g | c i t y | o r | c i t y - s t a t e | a n d | t h a t | a l s o | s o m e h o w | d e f i n e s | t h e | s i z e | o f | t h e | s o c i e t y |,331840,MALE
1983,2749300928979585932.wav,"The word civilization comes from the Latin civilis, meaning civil, related to the Latin civis, meaning citizen, and civitas, meaning city or city-state, and that also somehow defines the size of the society.",the word civilization comes from the latin civilis meaning civil related to the latin civis meaning citizen and civitas meaning city or city-state and that also somehow defines the size of the society,t h e | w o r d | c i v i l i z a t i o n | c o m e s | f r o m | t h e | l a t i n | c i v i l i s | m e a n i n g | c i v i l | r e l a t e d | t o | t h e | l a t i n | c i v i s | m e a n i n g | c i t i z e n | a n d | c i v i t a s | m e a n i n g | c i t y | o r | c i t y - s t a t e | a n d | t h a t | a l s o | s o m e h o w | d e f i n e s | t h e | s i z e | o f | t h e | s o c i e t y |,333760,MALE
1740,16327101627424867030.wav,The pyramid sound and light show is one of the most interesting things in the area for kids.,the pyramid sound and light show is one of the most interesting things in the area for kids,t h e | p y r a m i d | s o u n d | a n d | l i g h t | s h o w | i s | o n e | o f | t h e | m o s t | i n t e r e s t i n g | t h i n g s | i n | t h e | a r e a | f o r | k i d s |,112320,MALE
1740,10903101168349732260.wav,The pyramid sound and light show is one of the most interesting things in the area for kids.,the pyramid sound and light show is one of the most interesting things in the area for kids,t h e | p y r a m i d | s o u n d | a n d | l i g h t | s h o w | i s | o n e | o f | t h e | m o s t | i n t e r e s t i n g | t h i n g s | i n | t h e | a r e a | f o r | k i d s |,133440,MALE
1682,9924305423057523453.wav,"While no one knows for certain who wrote it, it is known that early in its life, the large parchment document (it measures 29¾ inches by 24½ inches) was rolled up for storage.",while no one knows for certain who wrote it it is known that early in its life the large parchment document it measures 29¾ inches by 24½ inches was rolled up for storage,w h i l e | n o | o n e | k n o w s | f o r | c e r t a i n | w h o | w r o t e | i t | i t | i s | k n o w n | t h a t | e a r l y | i n | i t s | l i f e | t h e | l a r g e | p a r c h m e n t | d o c u m e n t | i t | m e a s u r e s | 2 9 ¾ | i n c h e s | b y | 2 4 ½ | i n c h e s | w a s | r o l l e d | u p | f o r | s t o r a g e |,250240,MALE
1891,4439398069046383836.wav,"Lakkha Singh presented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.",lakkha singh presented the chhappan bhog bhajan as well singer raju khandelwal was accompanying him,l a k k h a | s i n g h | p r e s e n t e d | t h e | c h h a p p a n | b h o g | b h a j a n | a s | w e l l | s i n g e r | r a j u | k h a n d e l w a l | w a s | a c c o m p a n y i n g | h i m |,235840,MALE
1955,4060670580459188209.wav,"MS is a disease that affects the central nervous system, which is made up of the brain, the spinal cord and the optic nerve.",ms is a disease that affects the central nervous system which is made up of the brain the spinal cord and the optic nerve,m s | i s | a | d i s e a s e | t h a t | a f f e c t s | t h e | c e n t r a l | n e r v o u s | s y s t e m | w h i c h | i s | m a d e | u p | o f | t h e | b r a i n | t h e | s p i n a l | c o r d | a n d | t h e | o p t i c | n e r v e |,167040,MALE
1955,12239464249642485259.wav,"MS is a disease that affects the central nervous system, which is made up of the brain, the spinal cord and the optic nerve.",ms is a disease that affects the central nervous system which is made up of the brain the spinal cord and the optic nerve,m s | i s | a | d i s e a s e | t h a t | a f f e c t s | t h e | c e n t r a l | n e r v o u s | s y s t e m | w h i c h | i s | m a d e | u p | o f | t h e | b r a i n | t h e | s p i n a l | c o r d | a n d | t h e | o p t i c | n e r v e |,115200,FEMALE
1754,7378068468742958430.wav,There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.,there may be more maria on the near side because the crust is thinner it was easier for lava to rise up to the surface,t h e r e | m a y | b e | m o r e | m a r i a | o n | t h e | n e a r | s i d e | b e c a u s e | t h e | c r u s t | i s | t h i n n e r | i t | w a s | e a s i e r | f o r | l a v a | t o | r i s e | u p | t o | t h e | s u r f a c e |,171840,MALE
1754,4807942348083346744.wav,There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.,there may be more maria on the near side because the crust is thinner it was easier for lava to rise up to the surface,t h e r e | m a y | b e | m o r e | m a r i a | o n | t h e | n e a r | s i d e | b e c a u s e | t h e | c r u s t | i s | t h i n n e r | i t | w a s | e a s i e r | f o r | l a v a | t o | r i s e | u p | t o | t h e | s u r f a c e |,143360,MALE
1706,17858903836434412568.wav,"More traditional churches often hold an Easter Vigil on Saturday night during the Easter weekend, with the congregations often breaking into celebration at the stroke of midnight to celebrate Christ's resurrection.",more traditional churches often hold an easter vigil on saturday night during the easter weekend with the congregations often breaking into celebration at the stroke of midnight to celebrate christ's resurrection,m o r e | t r a d i t i o n a l | c h u r c h e s | o f t e n | h o l d | a n | e a s t e r | v i g i l | o n | s a t u r d a y | n i g h t | d u r i n g | t h e | e a s t e r | w e e k e n d | w i t h | t h e | c o n g r e g a t i o n s | o f t e n | b r e a k i n g | i n t o | c e l e b r a t i o n | a t | t h e | s t r o k e | o f | m i d n i g h t | t o | c e l e b r a t e | c h r i s t ' s | r e s u r r e c t i o n |,203520,FEMALE
1885,14693330690944350091.wav,"Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.",between 10:00-11:00 pm mdt a fire was started by the inmates in the yard,b e t w e e n | 1 0 : 0 0 - 1 1 : 0 0 | p m | m d t | a | f i r e | w a s | s t a r t e d | b y | t h e | i n m a t e s | i n | t h e | y a r d |,143040,FEMALE
1885,5164710956485163027.wav,"Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.",between 10:00-11:00 pm mdt a fire was started by the inmates in the yard,b e t w e e n | 1 0 : 0 0 - 1 1 : 0 0 | p m | m d t | a | f i r e | w a s | s t a r t e d | b y | t h e | i n m a t e s | i n | t h e | y a r d |,238080,MALE
1747,8826719964171179660.wav,Fellow wrestlers also paid tribute to Luna.,fellow wrestlers also paid tribute to luna,f e l l o w | w r e s t l e r s | a l s o | p a i d | t r i b u t e | t o | l u n a |,83520,FEMALE
1747,8055381310140725360.wav,Fellow wrestlers also paid tribute to Luna.,fellow wrestlers also paid tribute to luna,f e l l o w | w r e s t l e r s | a l s o | p a i d | t r i b u t e | t o | l u n a |,57600,FEMALE
1776,1038214857203833067.wav,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",through the night between 150 and 200 copies were made now known as dunlap broadsides,t h r o u g h | t h e | n i g h t | b e t w e e n | 1 5 0 | a n d | 2 0 0 | c o p i e s | w e r e | m a d e | n o w | k n o w n | a s | d u n l a p | b r o a d s i d e s |,76800,FEMALE
1776,15695900311829620190.wav,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",through the night between 150 and 200 copies were made now known as dunlap broadsides,t h r o u g h | t h e | n i g h t | b e t w e e n | 1 5 0 | a n d | 2 0 0 | c o p i e s | w e r e | m a d e | n o w | k n o w n | a s | d u n l a p | b r o a d s i d e s |,131520,FEMALE
1723,11426556553252626005.wav,"The harbor was the site of an infamous naval standoff in 1889 when seven ships from Germany, the US, and Britain refused to leave the harbor.",the harbor was the site of an infamous naval standoff in 1889 when seven ships from germany the us and britain refused to leave the harbor,t h e | h a r b o r | w a s | t h e | s i t e | o f | a n | i n f a m o u s | n a v a l | s t a n d o f f | i n | 1 8 8 9 | w h e n | s e v e n | s h i p s | f r o m | g e r m a n y | t h e | u s | a n d | b r i t a i n | r e f u s e d | t o | l e a v e | t h e | h a r b o r |,204480,MALE
1713,12921155570472263117.wav,"While Goma is reasonably safe, any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province.",while goma is reasonably safe any visits outside of goma should be researched to understand the state of the fighting that persists in the north kivu province,w h i l e | g o m a | i s | r e a s o n a b l y | s a f e | a n y | v i s i t s | o u t s i d e | o f | g o m a | s h o u l d | b e | r e s e a r c h e d | t o | u n d e r s t a n d | t h e | s t a t e | o f | t h e | f i g h t i n g | t h a t | p e r s i s t s | i n | t h e | n o r t h | k i v u | p r o v i n c e |,157440,FEMALE
1713,7733319748371867842.wav,"While Goma is reasonably safe, any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province.",while goma is reasonably safe any visits outside of goma should be researched to understand the state of the fighting that persists in the north kivu province,w h i l e | g o m a | i s | r e a s o n a b l y | s a f e | a n y | v i s i t s | o u t s i d e | o f | g o m a | s h o u l d | b e | r e s e a r c h e d | t o | u n d e r s t a n d | t h e | s t a t e | o f | t h e | f i g h t i n g | t h a t | p e r s i s t s | i n | t h e | n o r t h | k i v u | p r o v i n c e |,222720,FEMALE
1851,16721823661104667622.wav,"Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.",rip currents are the returning flow from waves breaking off the beach often at a reef or similar,r i p | c u r r e n t s | a r e | t h e | r e t u r n i n g | f l o w | f r o m | w a v e s | b r e a k i n g | o f f | t h e | b e a c h | o f t e n | a t | a | r e e f | o r | s i m i l a r |,102720,FEMALE
1851,8742060069420489184.wav,"Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.",rip currents are the returning flow from waves breaking off the beach often at a reef or similar,r i p | c u r r e n t s | a r e | t h e | r e t u r n i n g | f l o w | f r o m | w a v e s | b r e a k i n g | o f f | t h e | b e a c h | o f t e n | a t | a | r e e f | o r | s i m i l a r |,79680,FEMALE
1844,6873447881355850328.wav,The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust.,the surface of the moon is made of rocks and dust the outer layer of the moon is called the crust,t h e | s u r f a c e | o f | t h e | m o o n | i s | m a d e | o f | r o c k s | a n d | d u s t | t h e | o u t e r | l a y e r | o f | t h e | m o o n | i s | c a l l e d | t h e | c r u s t |,90240,FEMALE
1844,851494165324091609.wav,The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust.,the surface of the moon is made of rocks and dust the outer layer of the moon is called the crust,t h e | s u r f a c e | o f | t h e | m o o n | i s | m a d e | o f | r o c k s | a n d | d u s t | t h e | o u t e r | l a y e r | o f | t h e | m o o n | i s | c a l l e d | t h e | c r u s t |,80640,FEMALE
1761,5966925948005244453.wav,The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.,the photographers later took the place of an aged lady as she needed the lavatory mendoza was gunned down,t h e | p h o t o g r a p h e r s | l a t e r | t o o k | t h e | p l a c e | o f | a n | a g e d | l a d y | a s | s h e | n e e d e d | t h e | l a v a t o r y | m e n d o z a | w a s | g u n n e d | d o w n |,130560,FEMALE
1761,14836289886440749215.wav,The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.,the photographers later took the place of an aged lady as she needed the lavatory mendoza was gunned down,t h e | p h o t o g r a p h e r s | l a t e r | t o o k | t h e | p l a c e | o f | a n | a g e d | l a d y | a s | s h e | n e e d e d | t h e | l a v a t o r y | m e n d o z a | w a s | g u n n e d | d o w n |,137920,MALE
1751,18348048016606756393.wav,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",the debate was sparked by controversy over spending on relief and reconstruction in the wake hurricane katrina which some fiscal conservatives have humorously labeled bush's new orleans deal,t h e | d e b a t e | w a s | s p a r k e d | b y | c o n t r o v e r s y | o v e r | s p e n d i n g | o n | r e l i e f | a n d | r e c o n s t r u c t i o n | i n | t h e | w a k e | h u r r i c a n e | k a t r i n a | w h i c h | s o m e | f i s c a l | c o n s e r v a t i v e s | h a v e | h u m o r o u s l y | l a b e l e d | b u s h ' s | n e w | o r l e a n s | d e a l |,197760,FEMALE
1981,3986128848664857815.wav,If you only go ashore using shipboard excursions you will not need a separate visa (as of 2009).,if you only go ashore using shipboard excursions you will not need a separate visa as of 2009,i f | y o u | o n l y | g o | a s h o r e | u s i n g | s h i p b o a r d | e x c u r s i o n s | y o u | w i l l | n o t | n e e d | a | s e p a r a t e | v i s a | a s | o f | 2 0 0 9 |,158400,MALE
1981,17029455052229515619.wav,If you only go ashore using shipboard excursions you will not need a separate visa (as of 2009).,if you only go ashore using shipboard excursions you will not need a separate visa as of 2009,i f | y o u | o n l y | g o | a s h o r e | u s i n g | s h i p b o a r d | e x c u r s i o n s | y o u | w i l l | n o t | n e e d | a | s e p a r a t e | v i s a | a s | o f | 2 0 0 9 |,148160,MALE
1737,9989642899702468851.wav,"Lions are the most social cats, living in large groups called prides.",lions are the most social cats living in large groups called prides,l i o n s | a r e | t h e | m o s t | s o c i a l | c a t s | l i v i n g | i n | l a r g e | g r o u p s | c a l l e d | p r i d e s |,66240,FEMALE
1737,6351367445025505944.wav,"Lions are the most social cats, living in large groups called prides.",lions are the most social cats living in large groups called prides,l i o n s | a r e | t h e | m o s t | s o c i a l | c a t s | l i v i n g | i n | l a r g e | g r o u p s | c a l l e d | p r i d e s |,105600,MALE
1887,384435163157965470.wav,While he was working at the hospital Liggins began to investigate premature labor during his spare time.,while he was working at the hospital liggins began to investigate premature labor during his spare time,w h i l e | h e | w a s | w o r k i n g | a t | t h e | h o s p i t a l | l i g g i n s | b e g a n | t o | i n v e s t i g a t e | p r e m a t u r e | l a b o r | d u r i n g | h i s | s p a r e | t i m e |,87360,FEMALE
1724,1774013444539766052.wav,Its renown for being an epicenter of luxury began in about 400 A.D. and lasted up until about 1100 A.D.,its renown for being an epicenter of luxury began in about 400 a.d. and lasted up until about 1100 a.d,i t s | r e n o w n | f o r | b e i n g | a n | e p i c e n t e r | o f | l u x u r y | b e g a n | i n | a b o u t | 4 0 0 | a . d . | a n d | l a s t e d | u p | u n t i l | a b o u t | 1 1 0 0 | a . d |,183680,MALE
1724,7213249863906599090.wav,Its renown for being an epicenter of luxury began in about 400 A.D. and lasted up until about 1100 A.D.,its renown for being an epicenter of luxury began in about 400 a.d. and lasted up until about 1100 a.d,i t s | r e n o w n | f o r | b e i n g | a n | e p i c e n t e r | o f | l u x u r y | b e g a n | i n | a b o u t | 4 0 0 | a . d . | a n d | l a s t e d | u p | u n t i l | a b o u t | 1 1 0 0 | a . d |,187840,MALE
1665,3364947814969998944.wav,"The document, according to the leak, will refer to the borders dispute, which Palestine wants based on the borders before the 1967 Mideast War.",the document according to the leak will refer to the borders dispute which palestine wants based on the borders before the 1967 mideast war,t h e | d o c u m e n t | a c c o r d i n g | t o | t h e | l e a k | w i l l | r e f e r | t o | t h e | b o r d e r s | d i s p u t e | w h i c h | p a l e s t i n e | w a n t s | b a s e d | o n | t h e | b o r d e r s | b e f o r e | t h e | 1 9 6 7 | m i d e a s t | w a r |,132480,FEMALE
1665,6057938296244834632.wav,"The document, according to the leak, will refer to the borders dispute, which Palestine wants based on the borders before the 1967 Mideast War.",the document according to the leak will refer to the borders dispute which palestine wants based on the borders before the 1967 mideast war,t h e | d o c u m e n t | a c c o r d i n g | t o | t h e | l e a k | w i l l | r e f e r | t o | t h e | b o r d e r s | d i s p u t e | w h i c h | p a l e s t i n e | w a n t s | b a s e d | o n | t h e | b o r d e r s | b e f o r e | t h e | 1 9 6 7 | m i d e a s t | w a r |,172800,FEMALE
1992,7912552494860461835.wav,"The term safari in popular use refers to overland travel to view the stunning African wildlife, particularly on savanna.",the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna,t h e | t e r m | s a f a r i | i n | p o p u l a r | u s e | r e f e r s | t o | o v e r l a n d | t r a v e l | t o | v i e w | t h e | s t u n n i n g | a f r i c a n | w i l d l i f e | p a r t i c u l a r l y | o n | s a v a n n a |,152000,MALE
1992,1046653381869710616.wav,"The term safari in popular use refers to overland travel to view the stunning African wildlife, particularly on savanna.",the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna,t h e | t e r m | s a f a r i | i n | p o p u l a r | u s e | r e f e r s | t o | o v e r l a n d | t r a v e l | t o | v i e w | t h e | s t u n n i n g | a f r i c a n | w i l d l i f e | p a r t i c u l a r l y | o n | s a v a n n a |,138240,FEMALE
1733,899317378039624755.wav,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,first among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure iraq's borders against hostile interventions and to re-establish diplomatic relations with its neighbors,f i r s t | a m o n g | i t s | 7 8 | r e c o m m e n d a t i o n s | i s | t h a t | a | n e w | d i p l o m a t i c | i n i t i a t i v e | s h o u l d | b e | t a k e n | b e f o r e | t h e | e n d | o f | t h i s | y e a r | t o | s e c u r e | i r a q ' s | b o r d e r s | a g a i n s t | h o s t i l e | i n t e r v e n t i o n s | a n d | t o | r e - e s t a b l i s h | d i p l o m a t i c | r e l a t i o n s | w i t h | i t s | n e i g h b o r s |,281280,MALE
1733,9485750708964169814.wav,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,first among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure iraq's borders against hostile interventions and to re-establish diplomatic relations with its neighbors,f i r s t | a m o n g | i t s | 7 8 | r e c o m m e n d a t i o n s | i s | t h a t | a | n e w | d i p l o m a t i c | i n i t i a t i v e | s h o u l d | b e | t a k e n | b e f o r e | t h e | e n d | o f | t h i s | y e a r | t o | s e c u r e | i r a q ' s | b o r d e r s | a g a i n s t | h o s t i l e | i n t e r v e n t i o n s | a n d | t o | r e - e s t a b l i s h | d i p l o m a t i c | r e l a t i o n s | w i t h | i t s | n e i g h b o r s |,209280,FEMALE
1921,14115239728007650784.wav,"On the other hand, icy and snowy conditions are normal in many countries, and traffic goes on mostly uninterrupted all year round.",on the other hand icy and snowy conditions are normal in many countries and traffic goes on mostly uninterrupted all year round,o n | t h e | o t h e r | h a n d | i c y | a n d | s n o w y | c o n d i t i o n s | a r e | n o r m a l | i n | m a n y | c o u n t r i e s | a n d | t r a f f i c | g o e s | o n | m o s t l y | u n i n t e r r u p t e d | a l l | y e a r | r o u n d |,155520,FEMALE
1921,68300966899801601.wav,"On the other hand, icy and snowy conditions are normal in many countries, and traffic goes on mostly uninterrupted all year round.",on the other hand icy and snowy conditions are normal in many countries and traffic goes on mostly uninterrupted all year round,o n | t h e | o t h e r | h a n d | i c y | a n d | s n o w y | c o n d i t i o n s | a r e | n o r m a l | i n | m a n y | c o u n t r i e s | a n d | t r a f f i c | g o e s | o n | m o s t l y | u n i n t e r r u p t e d | a l l | y e a r | r o u n d |,193920,FEMALE
1938,10235738076911595987.wav,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others,t h e | h o s p i t a l | h a s | f o l l o w e d | p r o t o c o l | f o r | i n f e c t i o n | c o n t r o l | i n c l u d i n g | s e p a r a t i n g | t h e | p a t i e n t | f r o m | o t h e r s | t o | p r e v e n t | p o s s i b l e | i n f e c t i o n | o f | o t h e r s |,182720,MALE
1938,17392214165625498386.wav,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others,t h e | h o s p i t a l | h a s | f o l l o w e d | p r o t o c o l | f o r | i n f e c t i o n | c o n t r o l | i n c l u d i n g | s e p a r a t i n g | t h e | p a t i e n t | f r o m | o t h e r s | t o | p r e v e n t | p o s s i b l e | i n f e c t i o n | o f | o t h e r s |,168960,MALE
1919,10411016628242228511.wav,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa,t h e | c i t y | i s | a l s o | t h e | b a s e | t o | c l i m b | t h e | n y i r a g o n g o | v o l c a n o | a l o n g | w i t h | s o m e | o f | t h e | c h e a p e s t | m o u n t a i n | g o r i l l a | t r a c k i n g | i n | a f r i c a |,180480,FEMALE
1919,14643126700888487830.wav,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa,t h e | c i t y | i s | a l s o | t h e | b a s e | t o | c l i m b | t h e | n y i r a g o n g o | v o l c a n o | a l o n g | w i t h | s o m e | o f | t h e | c h e a p e s t | m o u n t a i n | g o r i l l a | t r a c k i n g | i n | a f r i c a |,166080,FEMALE
1944,1724953769276277810.wav,These are sometimes-crowded family beaches with a good range of shops lining the shore. Swimming is safe.,these are sometimes-crowded family beaches with a good range of shops lining the shore swimming is safe,t h e s e | a r e | s o m e t i m e s - c r o w d e d | f a m i l y | b e a c h e s | w i t h | a | g o o d | r a n g e | o f | s h o p s | l i n i n g | t h e | s h o r e | s w i m m i n g | i s | s a f e |,168000,FEMALE
1944,2074231104398719826.wav,These are sometimes-crowded family beaches with a good range of shops lining the shore. Swimming is safe.,these are sometimes-crowded family beaches with a good range of shops lining the shore swimming is safe,t h e s e | a r e | s o m e t i m e s - c r o w d e d | f a m i l y | b e a c h e s | w i t h | a | g o o d | r a n g e | o f | s h o p s | l i n i n g | t h e | s h o r e | s w i m m i n g | i s | s a f e |,155520,MALE
1765,13332753177678720249.wav,"Since the foundation of Asunción in 1537, Paraguay has managed to keep a lot of its indigenous character and identity.",since the foundation of asunción in 1537 paraguay has managed to keep a lot of its indigenous character and identity,s i n c e | t h e | f o u n d a t i o n | o f | a s u n c i ó n | i n | 1 5 3 7 | p a r a g u a y | h a s | m a n a g e d | t o | k e e p | a | l o t | o f | i t s | i n d i g e n o u s | c h a r a c t e r | a n d | i d e n t i t y |,189120,FEMALE
1765,3401231636665586110.wav,"Since the foundation of Asunción in 1537, Paraguay has managed to keep a lot of its indigenous character and identity.",since the foundation of asunción in 1537 paraguay has managed to keep a lot of its indigenous character and identity,s i n c e | t h e | f o u n d a t i o n | o f | a s u n c i ó n | i n | 1 5 3 7 | p a r a g u a y | h a s | m a n a g e d | t o | k e e p | a | l o t | o f | i t s | i n d i g e n o u s | c h a r a c t e r | a n d | i d e n t i t y |,127680,FEMALE
